CAD_U|CAFKU|D4341|AIQ|20130424211101|FKU-1A|||//6/17/2013 12:48:07 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//6/17/2013 12:48:07 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//6/17/2013 12:48:07 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:08 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:08 AM
CAD_U|CABEU|E4661|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:08 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4663|AIQ|20130407135917|BEU-30|||//6/17/2013 12:48:09 AM
CAD_U|CABEU|E4666|AIQ|20130604080819|BEU-30|||//6/17/2013 12:48:10 AM
CAD_U|CABEU|E4666|AIQ|20130604080819|BEU-30|||//6/17/2013 12:48:10 AM
CAD_U|CABEU|E4666|AIQ|20130604080819|BEU-30|||//6/17/2013 12:48:10 AM
CAD_U|CABEU|E4664|AIQ|20130501131824|BEU-31|||//6/17/2013 12:48:10 AM
CAD_U|CABEU|E4664|AIQ|20130501131824|BEU-31|||//6/17/2013 12:48:11 AM
CAD_U|CABEU|E4673|AIQ|20130604080650|BEU-30|||//6/17/2013 12:48:11 AM
CAD_U|CABEU|E4673|AIQ|20130604080650|BEU-30|||//6/17/2013 12:48:11 AM
CAD_U|CABEU|E4673|AIQ|20130604080650|BEU-30|||//6/17/2013 12:48:11 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4665|AIQ|20130501130452|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4674|AIQ|20130615001848|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4674|AIQ|20130615001848|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4674|AIQ|20130615001848|BEU-30|||//6/17/2013 12:48:12 AM
CAD_U|CABEU|E4666|AIQ|20130501130358|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4666|AIQ|20130501130358|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4666|AIQ|20130501130358|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4681|AIQ|20130602172245|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4681|AIQ|20130602172245|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4681|AIQ|20130602172245|BEU-30|||//6/17/2013 12:48:13 AM
CAD_U|CABEU|E4674|AIQ|20130501130401|BEU-30|||//6/17/2013 12:48:14 AM
CAD_U|CABEU|E4674|AIQ|20130501130401|BEU-30|||//6/17/2013 12:48:14 AM
CAD_U|CABEU|E4684|AIQ|20130607135745|BEU-35|||//6/17/2013 12:48:14 AM
CAD_U|CABEU|E4684|AIQ|20130607135745|BEU-35|||//6/17/2013 12:48:14 AM
CAD_U|CABEU|E4684|AIQ|20130607135745|BEU-35|||//6/17/2013 12:48:14 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4676|AIQ|20130501130359|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4686|AIQ|20130605094840|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4686|AIQ|20130605094840|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4686|AIQ|20130605094840|BEU-30|||//6/17/2013 12:48:15 AM
CAD_U|CABEU|E4677|AIQ|20130501131824|BEU-30|||//6/17/2013 12:48:16 AM
CAD_U|CABEU|E4677|AIQ|20130501131824|BEU-30|||//6/17/2013 12:48:16 AM
CAD_U|CABEU|E4691|AIQ|20130516075154|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4691|AIQ|20130516075154|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4691|AIQ|20130516075154|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4679|AIQ|20130516111112|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4679|AIQ|20130516111112|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4679|AIQ|20130516111112|BEU-30|||//6/17/2013 12:48:17 AM
CAD_U|CABEU|E4693|AIQ|20130604084041|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4693|AIQ|20130604084041|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4693|AIQ|20130604084041|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4681|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4681|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4681|AIQ|20130425170456|BEU-30|||//6/17/2013 12:48:18 AM
CAD_U|CABEU|E4694|AIQ|20130607134155|BEU-30|||//6/17/2013 12:48:19 AM
CAD_U|CABEU|E4694|AIQ|20130607134155|BEU-30|||//6/17/2013 12:48:19 AM
CAD_U|CABEU|E4684|AIQ|20130501131824|BEU-35|||//6/17/2013 12:48:19 AM
CAD_U|CABEU|E4684|AIQ|20130501131824|BEU-35|||//6/17/2013 12:48:19 AM
CAD_U|CABEU|E4699|AIQ|20130615141850|BEU-30|||//6/17/2013 12:48:20 AM
CAD_U|CABEU|E4699|AIQ|20130615141850|BEU-30|||//6/17/2013 12:48:20 AM
CAD_U|CABEU|E4685|AIQ|20130501130421|BEU-30|||//6/17/2013 12:48:20 AM
CAD_U|CABEU|E4685|AIQ|20130501130421|BEU-30|||//6/17/2013 12:48:20 AM
CAD_U|CABEU|E4685|AIQ|20130501130421|BEU-30|||//6/17/2013 12:48:20 AM
CAD_U|CABEU|GAB4|AIQ|20130616203407|BEU-30|||//6/17/2013 12:48:21 AM
CAD_U|CABEU|GAB4|AIQ|20130616203407|BEU-30|||//6/17/2013 12:48:21 AM
CAD_U|CABEU|GAB4|AIQ|20130616203407|BEU-30|||//6/17/2013 12:48:21 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|E4686|AIQ|20130501130422|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|HLT406|AIQ|20130609091254|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|HLT406|AIQ|20130609091254|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|HLT406|AIQ|20130609091254|BEU-30|||//6/17/2013 12:48:22 AM
CAD_U|CABEU|E4691|AIQ|20130501130419|BEU-30|||//6/17/2013 12:48:23 AM
CAD_U|CABEU|E4691|AIQ|20130501130419|BEU-30|||//6/17/2013 12:48:23 AM
CAD_U|CABEU|E4691|AIQ|20130501130419|BEU-30|||//6/17/2013 12:48:23 AM
CAD_U|CACDF|T80|AIQ|20130615140354|HAAB|||//6/17/2013 12:48:23 AM
CAD_U|CACDF|T80|AIQ|20130615140354|HAAB|||//6/17/2013 12:48:23 AM
CAD_U|CACDF|T80|AIQ|20130615140354|HAAB|||//6/17/2013 12:48:23 AM
CAD_U|CABEU|E4693|AIQ|20130501130400|BEU-30|||//6/17/2013 12:48:24 AM
CAD_U|CABEU|E4693|AIQ|20130501130400|BEU-30|||//6/17/2013 12:48:24 AM
CAD_U|CABEU|E4693|AIQ|20130501130400|BEU-30|||//6/17/2013 12:48:24 AM
CAD_U|CACDF|T81|AIQ|20130606115243|HAAB|||//6/17/2013 12:48:24 AM
CAD_U|CACDF|T81|AIQ|20130606115243|HAAB|||//6/17/2013 12:48:24 AM
CAD_U|CACDF|T81|AIQ|20130606115243|HAAB|||//6/17/2013 12:48:24 AM
CAD_U|CABEU|E4694|AIQ|20130501131824|BEU-30|||//6/17/2013 12:48:25 AM
CAD_U|CABEU|E4694|AIQ|20130501131824|BEU-30|||//6/17/2013 12:48:25 AM
