CAD_E|CAPSM11007198//8/10/2011 12:05:59 AM
CAD_U|CAPSM|E64|AIQ|20110810000559|A-32M|||//8/10/2011 12:05:59 AM
CAD_U|CASLU|P3421|ONS|20110810000652|A-36E|11007196|FVP|CASLU2011006302//8/10/2011 12:06:52 AM
CAD_U|CASLU|E3467|AOS|20110810000759|E-19B|11007196|FVP|CASLU2011006302//8/10/2011 12:07:59 AM
CAD_E|CASLC11007196|CASLU2011006302|NEPTUNE DR  SLO_CO|20110809225227|FVP|FIRE, VEH PASSENGER|-120.494934|35.018500|333 NEPTUNE DR |SLO_CO| DEAD-END|1198 BLK STARLITE DR|756_A_5/19_T11N_R34W_S||||ME20R,E3467|Command:LOCAL Pri Tactical:TAC2 Air-to-Air:AIRTACTICS4 Air-to-Ground:TAC2 //8/10/2011 12:15:36 AM
CAD_U|CASLU|P3421|AIQ|20110810001536|A-36E|||//8/10/2011 12:15:36 AM
CAD_E|CASLC11007196|CASLU2011006302|NEPTUNE DR  SLO_CO|20110809225227|FVP|FIRE, VEH PASSENGER|-120.494934|35.018500|333 NEPTUNE DR |SLO_CO| DEAD-END|1198 BLK STARLITE DR|756_A_5/19_T11N_R34W_S||||ME20R,E3467|Command:LOCAL Pri Tactical:TAC2 Air-to-Air:AIRTACTICS4 Air-to-Ground:TAC2 //8/10/2011 12:16:12 AM
CAD_E|CASLC11007196|CASLU2011006302|NEPTUNE DR  SLO_CO|20110809225227|FVP|FIRE, VEH PASSENGER|-120.494934|35.018500|333 NEPTUNE DR |SLO_CO| DEAD-END|1198 BLK STARLITE DR|756_A_5/19_T11N_R34W_S||||ME20R,E3467|Command:LOCAL Pri Tactical:TAC2 Air-to-Air:AIRTACTICS4 Air-to-Ground:TAC2 //8/10/2011 12:17:07 AM
CAD_U|CASLU|E3467|AOS|20110810000759|E-19B|11007196|FVP|CASLU2011006302//8/10/2011 12:17:07 AM
CAD_U|CASLC|ME20R|ONS|20110809230039|E-19B|11007196|FVP|CASLU2011006302//8/10/2011 12:17:07 AM
CAD_E|CASLC11007196|CASLU2011006302|NEPTUNE DR  SLO_CO|20110809225227|FVP|FIRE, VEH PASSENGER|-120.494934|35.018500|333 NEPTUNE DR |SLO_CO| DEAD-END|1198 BLK STARLITE DR|756_A_5/19_T11N_R34W_S||||E3467|Command:LOCAL Pri Tactical:TAC2 Air-to-Air:AIRTACTICS4 Air-to-Ground:TAC2 //8/10/2011 12:17:36 AM
CAD_U|CASLC|ME20R|AIQ|20110810001736|E-19B|||//8/10/2011 12:17:36 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//8/10/2011 12:28:04 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//8/10/2011 12:28:04 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//8/10/2011 12:28:05 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//8/10/2011 12:28:05 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//8/10/2011 12:28:05 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//8/10/2011 12:28:06 AM
CAD_U|CACDF|AA430|AIQ|20110809193307|FAAB|||//8/10/2011 12:28:06 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//8/10/2011 12:28:06 AM
CAD_U|CACDF|AA430|AIQ|20110809193307|FAAB|||//8/10/2011 12:28:06 AM
CAD_U|CACDF|AA430|AIQ|20110809193307|FAAB|||//8/10/2011 12:28:06 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//8/10/2011 12:28:07 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//8/10/2011 12:28:07 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//8/10/2011 12:28:07 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//8/10/2011 12:28:08 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//8/10/2011 12:28:08 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//8/10/2011 12:28:08 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//8/10/2011 12:28:09 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//8/10/2011 12:28:09 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//8/10/2011 12:28:09 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//8/10/2011 12:28:10 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//8/10/2011 12:28:10 AM
