CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:13 AM
CAD_U|CASLU|B3416|ONS|20120503234252|A-22B|12003870|FSR|CASLU2012003413//5/4/2012 12:02:55 AM
CAD_U|CABEU|GAB3|AIQ|20120409070657|BEU-30|||//5/4/2012 12:08:24 AM
CAD_U|CABEU|GAB3|AIQ|20120409070657|BEU-30|||//5/4/2012 12:08:24 AM
CAD_U|CABEU|GAB4|AIQ|20120430070251|BEU-30|||//5/4/2012 12:08:25 AM
CAD_U|CABEU|GAB4|AIQ|20120430070251|BEU-30|||//5/4/2012 12:08:25 AM
CAD_U|CABEU|GAB4|AIQ|20120430070251|BEU-30|||//5/4/2012 12:08:25 AM
CAD_U|CABEU|GAB5|AIQ|20120501080916|BEU-30|||//5/4/2012 12:08:26 AM
CAD_U|CABEU|GAB5|AIQ|20120501080916|BEU-30|||//5/4/2012 12:08:26 AM
CAD_U|CABEU|GAB5|AIQ|20120501080916|BEU-30|||//5/4/2012 12:08:26 AM
CAD_U|CAFKU|E4352|AIQ|20120430115153|FKU-2|||//5/4/2012 12:08:27 AM
CAD_U|CAFKU|E4352|AIQ|20120430115153|FKU-2|||//5/4/2012 12:08:27 AM
CAD_U|CAFKU|E4352|AIQ|20120430115153|FKU-2|||//5/4/2012 12:08:27 AM
CAD_U|CAFKU|E4362|AIQ|20120501151233|FKU-2|||//5/4/2012 12:08:28 AM
CAD_U|CAFKU|E4362|AIQ|20120501151233|FKU-2|||//5/4/2012 12:08:28 AM
CAD_U|CAFKU|E4362|AIQ|20120501151233|FKU-2|||//5/4/2012 12:08:28 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//5/4/2012 12:08:29 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//5/4/2012 12:08:29 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//5/4/2012 12:08:29 AM
CAD_U|CAFKU|E4373|AIQ|20120502152424|FKU-2|||//5/4/2012 12:08:30 AM
CAD_U|CAFKU|E4373|AIQ|20120502152424|FKU-2|||//5/4/2012 12:08:30 AM
CAD_U|CAFKU|E4373|AIQ|20120502152424|FKU-2|||//5/4/2012 12:08:30 AM
CAD_U|CAFKU|E4391|AIQ|20120413172448|FKU-2|||//5/4/2012 12:08:31 AM
CAD_U|CAFKU|E4391|AIQ|20120413172448|FKU-2|||//5/4/2012 12:08:31 AM
CAD_U|CAFKU|E4391|AIQ|20120413172448|FKU-2|||//5/4/2012 12:08:31 AM
CAD_U|CAFKU|MIR1|AIQ|20120430081351|FKU-2|||//5/4/2012 12:08:33 AM
CAD_U|CAFKU|MIR1|AIQ|20120430081351|FKU-2|||//5/4/2012 12:08:33 AM
CAD_U|CAFKU|MIR1|AIQ|20120430081351|FKU-2|||//5/4/2012 12:08:33 AM
CAD_U|CAFKU|MIR2|AIQ|20120426085558|FKU-2|||//5/4/2012 12:08:34 AM
CAD_U|CAFKU|MIR2|AIQ|20120426085558|FKU-2|||//5/4/2012 12:08:34 AM
CAD_U|CAFKU|MIR2|AIQ|20120426085558|FKU-2|||//5/4/2012 12:08:34 AM
CAD_U|CAFKU|MIR3|AIQ|20120430081357|FKU-1A|||//5/4/2012 12:08:35 AM
CAD_U|CAFKU|MIR3|AIQ|20120430081357|FKU-1A|||//5/4/2012 12:08:35 AM
CAD_U|CAFKU|MIR3|AIQ|20120430081357|FKU-1A|||//5/4/2012 12:08:35 AM
CAD_U|CAFKU|MIR4|AIQ|20120430081358|FKU-2|||//5/4/2012 12:08:36 AM
CAD_U|CAFKU|MIR4|AIQ|20120430081358|FKU-2|||//5/4/2012 12:08:36 AM
CAD_U|CAFKU|MIR4|AIQ|20120430081358|FKU-2|||//5/4/2012 12:08:36 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21,BS62,E6696|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:13:59 AM
CAD_U|CASLC|WT21|AIQ|20120504001400|A-22A|||//5/4/2012 12:13:59 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21,BS62|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:15:09 AM
CAD_U|CAAYG|E6696|OFF//5/4/2012 12:15:09 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21,BS62|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:20:33 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21,BS62|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:20:39 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//5/4/2012 12:22:56 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//5/4/2012 12:22:56 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//5/4/2012 12:22:56 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//5/4/2012 12:22:58 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//5/4/2012 12:22:58 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//5/4/2012 12:22:58 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//5/4/2012 12:22:59 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//5/4/2012 12:22:59 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//5/4/2012 12:22:59 AM
