CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//3/27/2013 12:28:10 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:10 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:10 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:10 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|E4665|AIQ|20130325103246|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|E4665|AIQ|20130325103246|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|E4665|AIQ|20130325103246|BEU-30|||//3/27/2013 12:28:11 AM
CAD_U|CABEU|GAB2|AIQ|20130326073115|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|GAB2|AIQ|20130326073115|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|GAB2|AIQ|20130326073115|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|E4666|AIQ|20130325103248|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|E4666|AIQ|20130325103248|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|E4666|AIQ|20130325103248|BEU-30|||//3/27/2013 12:28:12 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:13 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:13 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:13 AM
CAD_U|CABEU|E4673|AIQ|20130325130313|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|E4673|AIQ|20130325130313|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|E4673|AIQ|20130325130313|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|GAB4|AIQ|20130326073354|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|GAB4|AIQ|20130326073354|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|GAB4|AIQ|20130326073354|BEU-30|||//3/27/2013 12:28:14 AM
CAD_U|CABEU|E4674|AIQ|20130325130216|BEU-30|||//3/27/2013 12:28:15 AM
CAD_U|CABEU|E4674|AIQ|20130325130216|BEU-30|||//3/27/2013 12:28:15 AM
CAD_U|CABEU|GAB5|AIQ|20130326073658|BEU-30|||//3/27/2013 12:28:15 AM
CAD_U|CABEU|GAB5|AIQ|20130326073658|BEU-30|||//3/27/2013 12:28:15 AM
CAD_U|CABEU|GAB5|AIQ|20130326073658|BEU-30|||//3/27/2013 12:28:15 AM
CAD_U|CABEU|E4675|AIQ|20130325075329|BEU-30|||//3/27/2013 12:28:16 AM
