CAD_U|CABEU|E4694|AIQ|20140319160753|BEU-30|||//4/18/2014 12:43:36 AM
CAD_U|CABEU|GAB2|AIQ|20140415072222|BEU-30|||//4/18/2014 12:43:37 AM
CAD_U|CABEU|GAB2|AIQ|20140415072222|BEU-30|||//4/18/2014 12:43:37 AM
CAD_U|CABEU|GAB2|AIQ|20140415072222|BEU-30|||//4/18/2014 12:43:37 AM
CAD_U|CABEU|GAB5|AIQ|20140415072550|BEU-30|||//4/18/2014 12:43:38 AM
CAD_U|CABEU|GAB5|AIQ|20140415072550|BEU-30|||//4/18/2014 12:43:38 AM
CAD_U|CABEU|GAB5|AIQ|20140415072550|BEU-30|||//4/18/2014 12:43:38 AM
CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 12:43:39 AM
CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 12:43:39 AM
CAD_U|CABEU|HLT406|AIQ|20140406094918|BEU-30|||//4/18/2014 12:43:39 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 12:43:40 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 12:43:40 AM
CAD_U|CACDF|T81|AIQ|20140331100044|HAAB|||//4/18/2014 12:43:41 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/18/2014 12:43:42 AM
CAD_U|CAFKU|E4354|AIQ|20140330102106|FKU-1A|||//4/18/2014 12:43:42 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 12:43:43 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 12:43:43 AM
CAD_U|CAFKU|E4361|AIQ|20140407064119|FKU-1A|||//4/18/2014 12:43:43 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 12:43:44 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 12:43:44 AM
CAD_U|CAFKU|E4362|AIQ|20140321125125|FKU-2|||//4/18/2014 12:43:44 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 12:43:46 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 12:43:46 AM
CAD_U|CAFKU|E4363|AIQ|20140417161233|FKU-2|||//4/18/2014 12:43:46 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 12:43:47 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 12:43:47 AM
CAD_U|CAFKU|E4371|AIQ|20140303133829|FKU-2|||//4/18/2014 12:43:47 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 12:43:48 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 12:43:48 AM
CAD_U|CAFKU|E4373|AIQ|20140407064153|FKU-2|||//4/18/2014 12:43:48 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 12:43:49 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 12:43:49 AM
CAD_U|CAFKU|MIR1|AIQ|20140407080243|FKU-2|||//4/18/2014 12:43:49 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 12:43:50 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 12:43:50 AM
CAD_U|CAFKU|MIR2|AIQ|20140414064414|FKU-2|||//4/18/2014 12:43:50 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 12:43:52 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 12:43:52 AM
CAD_U|CAFKU|MIR3|AIQ|20140414064416|FKU-1A|||//4/18/2014 12:43:52 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 12:43:53 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 12:43:53 AM
CAD_U|CAFKU|MIR4|AIQ|20140408161630|FKU-2|||//4/18/2014 12:43:53 AM
CAD_E|CAPSM14004623//4/18/2014 12:48:08 AM
CAD_U|CASLU|B3416|AIQ|20140418004808|LEE|||//4/18/2014 12:48:08 AM
CAD_E|CAPSM14004623//4/18/2014 12:48:23 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 1:34:10 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 1:34:10 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 1:34:10 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 1:34:11 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 1:34:11 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 1:34:11 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 1:34:12 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 1:34:12 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 1:34:12 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 1:34:13 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 1:34:13 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 1:34:13 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 1:34:15 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 1:34:15 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 1:34:15 AM
CAD_U|CAFKU|D4341|AIQ|20140417064317|FKU-1A|||//4/18/2014 1:34:16 AM
CAD_U|CAFKU|D4341|AIQ|20140417064317|FKU-1A|||//4/18/2014 1:34:16 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 1:34:17 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 1:34:17 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 1:34:17 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/18/2014 1:34:18 AM
