CAD_E|CASLC13000865|CASLU|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.727177|35.320794|4225 CAMP 8 RD||COLUMET LN|HWY 41E|633_B_5/633_B_5||-120.727155|35.321198||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//1/29/2013 12:22:36 AM
CAD_E|CASLC13000865|CASLU|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:22:43 AM
CAD_E|CASLC13000865|CASLU|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:22:44 AM
CAD_E|CASLC13000865|CASLU2013000764|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5||||E43|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:22:50 AM
CAD_E|CASLC13000865|CASLU2013000764|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5||||E43|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:22:50 AM
CAD_U|CASLC|E43|DSP|20130129002250|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:22:50 AM
CAD_E|CASLC13000865|CASLU2013000764|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5||||E43|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:24:49 AM
CAD_U|CASLC|E43|DSP|20130129002250|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:24:53 AM
CAD_E|CASLC13000865|CASLU2013000764|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5||||E43|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:25:38 AM
CAD_U|CASLC|E43|ENR|20130129002537|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:25:38 AM
