CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//8/20/2012 12:17:21 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//8/20/2012 12:17:21 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//8/20/2012 12:17:22 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//8/20/2012 12:17:22 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//8/20/2012 12:17:22 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//8/20/2012 12:18:19 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//8/20/2012 12:18:19 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//8/20/2012 12:18:19 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//8/20/2012 12:18:20 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//8/20/2012 12:18:20 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//8/20/2012 12:18:20 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//8/20/2012 12:18:21 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//8/20/2012 12:18:21 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//8/20/2012 12:18:21 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//8/20/2012 12:18:22 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//8/20/2012 12:18:22 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//8/20/2012 12:18:22 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//8/20/2012 12:18:23 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//8/20/2012 12:18:23 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//8/20/2012 12:18:23 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//8/20/2012 12:18:24 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//8/20/2012 12:18:24 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//8/20/2012 12:18:24 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//8/20/2012 12:18:26 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//8/20/2012 12:18:26 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//8/20/2012 12:18:26 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//8/20/2012 12:18:27 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//8/20/2012 12:18:27 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//8/20/2012 12:18:27 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//8/20/2012 12:18:28 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//8/20/2012 12:18:28 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//8/20/2012 12:18:28 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//8/20/2012 12:18:29 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//8/20/2012 12:18:29 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//8/20/2012 12:18:30 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//8/20/2012 12:18:30 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//8/20/2012 12:18:30 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//8/20/2012 12:18:31 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//8/20/2012 12:18:31 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//8/20/2012 12:18:31 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//8/20/2012 12:18:32 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//8/20/2012 12:18:32 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//8/20/2012 12:18:32 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//8/20/2012 12:18:33 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//8/20/2012 12:18:33 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//8/20/2012 12:18:33 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//8/20/2012 12:18:34 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//8/20/2012 12:18:34 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//8/20/2012 12:18:34 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//8/20/2012 12:18:36 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//8/20/2012 12:18:36 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//8/20/2012 12:18:36 AM
CAD_U|CABEU|E4693|AIQ|20120811080806|BEU-30|||//8/20/2012 12:20:17 AM
CAD_U|CABEU|E4693|AIQ|20120811080806|BEU-30|||//8/20/2012 12:20:17 AM
CAD_U|CACDF|C406|AIQ|20120808101250|BVHB|||//8/20/2012 12:38:30 AM
CAD_U|CACDF|C406|AIQ|20120808101250|BVHB|||//8/20/2012 12:38:30 AM
CAD_U|CACDF|C406|AIQ|20120808101250|BVHB|||//8/20/2012 12:38:30 AM
CAD_U|CABEU|D4641|AIQ|20120707074711|BEU-30|||//8/20/2012 12:38:31 AM
CAD_U|CABEU|D4641|AIQ|20120707074711|BEU-30|||//8/20/2012 12:38:31 AM
CAD_U|CABEU|D4641|AIQ|20120707074711|BEU-30|||//8/20/2012 12:38:31 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//8/20/2012 12:38:32 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//8/20/2012 12:38:32 AM
CAD_U|CABEU|D4643|AIQ|20120523121341|BEU-30|||//8/20/2012 12:38:32 AM
