CAD_E|CALPF13009980|CASLU2013008088|HI MOUNTAIN CAMPGROUND SL|20131005224827|FOD|FIRE, DEBRIS|-120.415002|35.260001|HI MOUNTAIN CAMPGROUND @ =L(35.260001|SLO_CO| | |657/657||-120.409154|35.264999|E3481|Command:LOCAL;Pri Tactical:CDF TAC3;Alt Tactical:CALCORD;Air-to-Ground:FS A/G;//10/6/2013 12:05:30 AM
CAD_U|CABEU|E4685|AIQ|20130602121133|BEU-30|||//10/6/2013 12:08:22 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/6/2013 12:08:23 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/6/2013 12:08:23 AM
CAD_U|CABEU|E4686|AIQ|20130624010804|BEU-30|||//10/6/2013 12:08:23 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/6/2013 12:08:24 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/6/2013 12:08:24 AM
CAD_U|CABEU|E4691|AIQ|20131003065925|BEU-30|||//10/6/2013 12:08:24 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/6/2013 12:08:25 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/6/2013 12:08:25 AM
CAD_U|CABEU|E4693|AIQ|20130924163734|BEU-30|||//10/6/2013 12:08:25 AM
CAD_U|CABEU|E4694|AIQ|20131002070535|BEU-30|||//10/6/2013 12:08:26 AM
CAD_U|CABEU|E4694|AIQ|20131002070535|BEU-30|||//10/6/2013 12:08:26 AM
CAD_U|CABEU|GAB2|AIQ|20131003070548|BEU-30|||//10/6/2013 12:08:27 AM
CAD_U|CABEU|GAB2|AIQ|20131003070548|BEU-30|||//10/6/2013 12:08:27 AM
CAD_U|CABEU|GAB2|AIQ|20131003070548|BEU-30|||//10/6/2013 12:08:27 AM
CAD_U|CABEU|GAB3|AIQ|20130923072542|BEU-30|||//10/6/2013 12:08:28 AM
CAD_U|CABEU|GAB3|AIQ|20130923072542|BEU-30|||//10/6/2013 12:08:28 AM
CAD_U|CABEU|GAB3|AIQ|20130923072542|BEU-30|||//10/6/2013 12:08:28 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/6/2013 12:08:29 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/6/2013 12:08:29 AM
CAD_U|CAFKU|E4352|AIQ|20130501104647|FKU-2|||//10/6/2013 12:08:29 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/6/2013 12:08:31 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/6/2013 12:08:31 AM
CAD_U|CAFKU|E4353|AIQ|20130513092919|FKU-2|||//10/6/2013 12:08:31 AM
CAD_U|CAFKU|E4354|AIQ|20130804163003|FKU-1A|||//10/6/2013 12:08:32 AM
CAD_U|CAFKU|E4354|AIQ|20130804163003|FKU-1A|||//10/6/2013 12:08:32 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/6/2013 12:08:33 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/6/2013 12:08:33 AM
CAD_U|CAFKU|E4361|AIQ|20130627151428|FKU-1A|||//10/6/2013 12:08:33 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/6/2013 12:08:34 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/6/2013 12:08:34 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/6/2013 12:08:34 AM
CAD_U|CABEU|GAB4|AIQ|20130930073139|BEU-30|||//10/6/2013 12:08:35 AM
CAD_U|CABEU|GAB4|AIQ|20130930073139|BEU-30|||//10/6/2013 12:08:35 AM
CAD_U|CABEU|GAB4|AIQ|20130930073139|BEU-30|||//10/6/2013 12:08:35 AM
CAD_U|CABEU|GAB5|AIQ|20131001065420|BEU-30|||//10/6/2013 12:08:37 AM
CAD_U|CABEU|GAB5|AIQ|20131001065420|BEU-30|||//10/6/2013 12:08:37 AM
CAD_U|CABEU|GAB5|AIQ|20131001065420|BEU-30|||//10/6/2013 12:08:37 AM
CAD_U|CABEU|GAB6|AIQ|20131001065459|BEU-30|||//10/6/2013 12:08:38 AM
CAD_U|CABEU|GAB6|AIQ|20131001065459|BEU-30|||//10/6/2013 12:08:38 AM
CAD_U|CABEU|GAB6|AIQ|20131001065459|BEU-30|||//10/6/2013 12:08:38 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/6/2013 12:08:39 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/6/2013 12:08:39 AM
CAD_U|CABEU|HLT406|AIQ|20130708071726|BEU-30|||//10/6/2013 12:08:39 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/6/2013 12:08:40 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/6/2013 12:08:40 AM
CAD_U|CACDF|T80|AIQ|20130804160253|HAAB|||//10/6/2013 12:08:40 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/6/2013 12:08:41 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/6/2013 12:08:41 AM
CAD_U|CACDF|T81|AIQ|20130804160505|HAAB|||//10/6/2013 12:08:41 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/6/2013 12:08:42 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/6/2013 12:08:42 AM
CAD_U|CAFKU|E4363|AIQ|20130501101619|FKU-2|||//10/6/2013 12:08:42 AM
CAD_U|CAFKU|E4364|AIQ|20130804163003|FKU-1A|||//10/6/2013 12:08:43 AM
CAD_U|CAFKU|E4364|AIQ|20130804163003|FKU-1A|||//10/6/2013 12:08:43 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/6/2013 12:08:44 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/6/2013 12:08:45 AM
CAD_U|CAFKU|E4368|AIQ|20130802175820|FKU-2|||//10/6/2013 12:08:45 AM
CAD_U|CAFKU|E4370|AIQ|20131003184223|FKU-1A|||//10/6/2013 12:08:46 AM
CAD_U|CAFKU|E4370|AIQ|20131003184223|FKU-1A|||//10/6/2013 12:08:46 AM
CAD_U|CAFKU|E4370|AIQ|20131003184223|FKU-1A|||//10/6/2013 12:08:46 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/6/2013 12:08:47 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/6/2013 12:08:47 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//10/6/2013 12:08:47 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/6/2013 12:08:48 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/6/2013 12:08:48 AM
CAD_U|CAFKU|E4373|AIQ|20130502115114|FKU-2|||//10/6/2013 12:08:48 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/6/2013 12:08:49 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/6/2013 12:08:49 AM
CAD_U|CAFKU|E4382|AIQ|20130513073315|FKU-2|||//10/6/2013 12:08:49 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/6/2013 12:08:50 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/6/2013 12:08:50 AM
CAD_U|CAFKU|E4383|AIQ|20130426105004|FKU-1A|||//10/6/2013 12:08:50 AM
CAD_U|CAFKU|MIR1|AIQ|20131001181718|FKU-2|||//10/6/2013 12:08:51 AM
CAD_U|CAFKU|MIR1|AIQ|20131001181718|FKU-2|||//10/6/2013 12:08:52 AM
CAD_U|CAFKU|MIR1|AIQ|20131001181718|FKU-2|||//10/6/2013 12:08:52 AM
CAD_U|CAFKU|MIR2|AIQ|20131002084348|FKU-2|||//10/6/2013 12:08:53 AM
CAD_U|CAFKU|MIR2|AIQ|20131002084348|FKU-2|||//10/6/2013 12:08:53 AM
CAD_U|CAFKU|MIR2|AIQ|20131002084348|FKU-2|||//10/6/2013 12:08:53 AM
CAD_U|CAFKU|MIR3|AIQ|20131003161756|FKU-1A|||//10/6/2013 12:08:54 AM
CAD_U|CAFKU|MIR3|AIQ|20131003161756|FKU-1A|||//10/6/2013 12:08:54 AM
CAD_U|CAFKU|MIR3|AIQ|20131003161756|FKU-1A|||//10/6/2013 12:08:54 AM
CAD_U|CAFKU|MIR4|AIQ|20131003161803|FKU-2|||//10/6/2013 12:08:55 AM
CAD_U|CAFKU|MIR4|AIQ|20131003161803|FKU-2|||//10/6/2013 12:08:55 AM
CAD_U|CAFKU|MIR4|AIQ|20131003161803|FKU-2|||//10/6/2013 12:08:55 AM
CAD_U|CASLC|ME20|DSP|20131006000718|E-19B|13009982|MED|CASLU2013008090//10/6/2013 12:09:18 AM
CAD_E|CASLC13009982|CASLU2013008090|EMS3CDF/|20131006000639|MED|MEDICAL AID CODE 3|-120.498315|35.035102|844 HIBISCUS CT || DEAD-END|250 BLK DAFFODIL AVE|633_B_5/633_B_5||||ME20|Command:CO CMD 4;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//10/6/2013 12:10:52 AM
CAD_U|CASLC|ME20|ENR|20131006001053|E-19B|13009982|MED|CASLU2013008090//10/6/2013 12:10:52 AM
CAD_U|CASLC|ME20|ENR|20131006001053|E-19B|13009982|MED|CASLU2013008090//10/6/2013 12:10:53 AM
CAD_E|CASLC13009982|CASLU2013008090|EMS3CDF/|20131006000639|MED|MEDICAL AID CODE 3|-120.498315|35.035102|844 HIBISCUS CT || DEAD-END|250 BLK DAFFODIL AVE|633_B_5/633_B_5||||ME20|Command:CO CMD 4;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//10/6/2013 12:14:32 AM
CAD_U|CASLC|ME20|ONS|20131006001432|E-19B|13009982|MED|CASLU2013008090//10/6/2013 12:14:32 AM
CAD_U|CASLC|ME20|ONS|20131006001432|E-19B|13009982|MED|CASLU2013008090//10/6/2013 12:34:36 AM
CAD_E|CASLC13009982//10/6/2013 12:35:56 AM
CAD_U|CASLC|ME20|AIQ|20131006003556|E-19B|||//10/6/2013 12:35:56 AM
CAD_E|CASLC13009982//10/6/2013 12:36:10 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/6/2013 12:58:03 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/6/2013 12:58:03 AM
CAD_U|CACDF|C406|AIQ|20130815171931|BVHB|||//10/6/2013 12:58:03 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/6/2013 12:58:04 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/6/2013 12:58:04 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//10/6/2013 12:58:04 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//10/6/2013 12:58:05 AM
